,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DUSP1,8.39987993505071,-1.40630354295768,0.345356994186549,-4.07202855778287,4.66054635336018e-05,0.0146379993381788
FLNA,125.955782150926,-1.05333242417305,0.283429287943651,-3.71638524661735,0.00020209336440903,0.0346222677480743
FOS,8.99115645873335,-1.16350240196954,0.294043364231948,-3.95690752963821,7.59263048233251e-05,0.0190777495252742
HLA-E,46.5620156555243,-1.11352502516173,0.290386669338762,-3.83462859261872,0.00012575416892394,0.0243060237268888
ISG20,2.60245630626804,-1.12757989694093,0.257095089898893,-4.38584765420595,1.15534966061315e-05,0.0087090257417019
JUN,10.4940034109057,-1.25324854961565,0.300201427049683,-4.17469217895571,2.98389239636201e-05,0.0118382004651457
KCNA6,2.30667487316818,1.39658191993935,0.374605187267469,3.72814356930456,0.000192895483487029,0.0346201465363149
MIR6723,24.5560994567964,2.17160962565992,0.445460232720543,4.87497977630309,1.08819602734059e-06,0.00428945009771165
MTRNR2L2,5.5057796660625,2.42645333320244,0.572045661088542,4.24171267829418,2.21820551472642e-05,0.0104224178643927
MTRNR2L9,3.62804905647503,2.65416088925833,0.676383675669999,3.92404634341482,8.70739738143507e-05,0.0208610490965948
MUC4,6.35380015979093,1.77062696175451,0.45673611257549,3.87669578341446,0.000105884612854286,0.0217442656420871
OAZ1,10.881288897127,-1.14131490241552,0.294551312841369,-3.87475747911597,0.000106730940402922,0.0217442656420871
PPP1R15A,7.15749139991901,-1.1008096582146,0.25702957856802,-4.2828131468273,1.84545140977818e-05,0.0104224178643927
RNF213,42.8675289189383,-1.11736883860757,0.276628160711692,-4.03924472379412,5.36235938598919e-05,0.0155940678446394
RPPH1,156.874428656085,-1.75499082302597,0.394235799531539,-4.45162723707838,8.52220118168908e-06,0.00738973681636338
RPS19,24.8679878971765,-1.01067595180882,0.280131708177076,-3.60785988271615,0.000308733134884259,0.0442210176992568
RPS9,6.39093532241197,-1.23491097511094,0.342457421252959,-3.60602778176841,0.000310919864428311,0.0442210176992568
TGFB1,16.5541700526955,-1.00859938110656,0.237853559335357,-4.24042164399359,2.23100306336377e-05,0.0104224178643927
